temp,humidity,visibility,pressure,wind_speed,system_datetime,latest_report
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:07 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:10 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:12 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:13 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:16 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:17 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:18 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:20 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:21 18/10/2021,38m ago
25°C,51%,10000m,1018.0mbScattered Clouds at 760m,20 Km/h,20:38:22 18/10/2021,38m ago
