category,name,price in £,rating star(s)
Travel,It's Only the Himalayas,45.17,2
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
Travel,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
Travel,Under the Tuscan Sun,37.33,3
Travel,A Summer In Europe,44.34,2
Travel,The Great Railway Bazaar,30.54,1
Travel,A Year in Provence (Provence #1),56.88,4
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
Travel,Neither Here nor There: Travels in Europe,38.95,3
Travel,"1,000 Places to See Before You Die",26.08,5
Mystery,Sharp Objects,47.82,4
Mystery,"In a Dark, Dark Wood",19.63,1
Mystery,The Past Never Ends,56.5,4
Mystery,A Murder in Time,16.64,1
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
Mystery,The Last Mile (Amos Decker #2),54.21,2
Mystery,That Darkness (Gardiner and Renner #1),13.92,1
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69,1
Mystery,A Time of Torment (Charlie Parker #14),48.35,5
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73,2
Mystery,Poisonous (Max Revere Novels #3),26.8,3
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
Mystery,Most Wanted,35.28,3
Mystery,Hide Away (Eve Duncan #20),11.84,1
Mystery,Boar Island (Anna Pigeon #19),59.48,3
Mystery,The Widow,27.26,2
Mystery,Playing with Fire,13.71,3
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
Mystery,In the Woods (Dublin Murder Squad #1),38.38,2
Mystery,The Silkworm (Cormoran Strike #2),23.05,5
Mystery,The Exiled,43.45,3
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21,1
Mystery,Extreme Prey (Lucas Davenport #26),25.4,3
Mystery,Career of Evil (Cormoran Strike #3),24.72,2
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
Mystery,The Girl You Lost,12.29,5
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85,3
Mystery,Blood Defense (Samantha Brinkman #1),20.3,3
Mystery,1st to Die (Women's Murder Club #1),53.98,1
Historical Fiction,Tipping the Velvet,53.74,1
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53,5
Historical Fiction,The House by the Lake,36.95,1
Historical Fiction,Mrs. Houdini,30.25,5
Historical Fiction,The Marriage of Opposites,28.08,4
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84,3
Historical Fiction,"Love, Lies and Spies",20.55,2
Historical Fiction,A Paris Apartment,39.01,4
Historical Fiction,Lilac Girls,17.28,2
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62,3
Historical Fiction,The Invention of Wings,37.34,1
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97,4
Historical Fiction,The Passion of Dolssa,28.32,5
Historical Fiction,Girl With a Pearl Earring,26.77,1
Historical Fiction,Voyager (Outlander #3),21.07,5
Historical Fiction,The Red Tent,35.66,5
Historical Fiction,The Last Painting of Sara de Vos,55.55,2
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53,1
Historical Fiction,Girl in the Blue Coat,46.83,2
Historical Fiction,Between Shades of Gray,20.79,5
Historical Fiction,While You Were Mine,41.32,5
Historical Fiction,The Secret Healer,34.56,3
Historical Fiction,Starlark,25.83,3
Historical Fiction,Lost Among the Living,27.7,4
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97,5
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
Sequential Art,This One Summer,19.49,4
Sequential Art,The Nameless City (The Nameless City #1),38.16,4
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97,1
Sequential Art,Patience,10.16,3
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2
Sequential Art,I am a Hero Omnibus Volume 1,54.63,3
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2
Sequential Art,Danganronpa Volume 1,51.99,4
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
Sequential Art,Camp Midnight,17.08,4
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2
Sequential Art,The Shadow Hero (The Shadow Hero),33.14,1
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
Sequential Art,Batman: The Long Halloween (Batman),36.5,2
Sequential Art,Batman: The Dark Knight Returns (Batman),15.38,5
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1
Sequential Art,Through the Woods,25.38,2
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
Sequential Art,Robin War,47.82,3
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2
Sequential Art,El Deafo,57.62,5
Sequential Art,Batman: Europa,32.01,2
Sequential Art,Art Ops Vol. 1,48.8,3
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4
Sequential Art,Roller Girl,14.1,5
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3
