City,Colors Reported,Shape Reported,State,Time,IN-December,Time_Diff_From_WW1
Ithaca,,TRIANGLE,NY,1930-06-01 22:00:00,False,5787 days 22:00:00
Willingboro,,OTHER,NJ,1930-06-30 20:00:00,False,5816 days 20:00:00
Holyoke,,OVAL,CO,1931-02-15 14:00:00,False,6046 days 14:00:00
Abilene,,DISK,KS,1931-06-01 13:00:00,False,6152 days 13:00:00
New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00,False,6839 days 19:00:00
Valley City,,DISK,ND,1934-09-15 15:30:00,False,7354 days 15:30:00
Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00,False,7627 days 00:00:00
Alma,,DISK,MI,1936-07-15 00:00:00,False,8023 days 00:00:00
Eklutna,,CIGAR,AK,1936-10-15 17:00:00,False,8115 days 17:00:00
Hubbard,,CYLINDER,OR,1937-06-15 00:00:00,False,8358 days 00:00:00
Fontana,,LIGHT,CA,1937-08-15 21:00:00,False,8419 days 21:00:00
Waterloo,,FIREBALL,AL,1939-06-01 20:00:00,False,9074 days 20:00:00
Belton,RED,SPHERE,SC,1939-06-30 20:00:00,False,9103 days 20:00:00
Keokuk,,OVAL,IA,1939-07-07 02:00:00,False,9110 days 02:00:00
Ludington,,DISK,MI,1941-06-01 13:00:00,False,9805 days 13:00:00
Forest Home,,CIRCLE,CA,1941-07-02 11:30:00,False,9836 days 11:30:00
Los Angeles,,,CA,1942-02-25 00:00:00,False,10074 days 00:00:00
Hapeville,,,GA,1942-06-01 22:30:00,False,10170 days 22:30:00
Oneida,,RECTANGLE,TN,1942-07-15 01:00:00,False,10214 days 01:00:00
Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00,False,10503 days 23:00:00
Nebraska,,DISK,NE,1943-06-01 15:00:00,False,10535 days 15:00:00
,,,LA,1943-08-15 00:00:00,False,10610 days 00:00:00
,,LIGHT,LA,1943-08-15 00:00:00,False,10610 days 00:00:00
Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00,False,10671 days 11:00:00
Wilderness,,DISK,WV,1944-01-01 10:00:00,False,10749 days 10:00:00
San Diego,,CIGAR,CA,1944-01-01 12:00:00,False,10749 days 12:00:00
Wilderness,,DISK,WV,1944-01-01 12:00:00,False,10749 days 12:00:00
Clovis,,DISK,NM,1944-04-02 11:00:00,False,10841 days 11:00:00
Los Alamos,,DISK,NM,1944-06-01 12:00:00,False,10901 days 12:00:00
Ft. Duschene,,DISK,UT,1944-06-30 10:00:00,False,10930 days 10:00:00
South Kingstown,,SPHERE,RI,1944-07-01 20:00:00,False,10931 days 20:00:00
North Tampa,,CYLINDER,FL,1944-07-15 13:00:00,False,10945 days 13:00:00
Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00,False,11115 days 12:00:00
Salinas AFB,,DISK,CA,1945-06-01 12:00:00,False,11266 days 12:00:00
Jasper,,FIREBALL,FL,1945-06-01 13:30:00,False,11266 days 13:30:00
Winston-Salem,,DISK,NC,1945-06-07 07:00:00,False,11272 days 07:00:00
Portsmouth,RED,FORMATION,VA,1945-07-10 01:30:00,False,11305 days 01:30:00
Dallas,,SPHERE,TX,1945-07-15 14:00:00,False,11310 days 14:00:00
Huntington Beach,,DISK,CA,1945-08-08 12:00:00,False,11334 days 12:00:00
San Antonio,,OVAL,NM,1945-08-16 11:30:00,False,11342 days 11:30:00
Roswell,,SPHERE,NM,1945-12-15 02:00:00,True,11463 days 02:00:00
New York City,,DISK,NY,1946-01-08 02:00:00,False,11487 days 02:00:00
Merced,,SPHERE,CA,1946-02-01 17:00:00,False,11511 days 17:00:00
Alice,,DISK,TX,1946-03-15 15:30:00,False,11553 days 15:30:00
Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00,False,11660 days 19:00:00
Index,,FIREBALL,WA,1946-06-30 21:00:00,False,11660 days 21:00:00
South Portland,,OVAL,ME,1946-07-01 13:30:00,False,11661 days 13:30:00
Oak Lawn,,FORMATION,IL,1946-09-12 00:00:00,False,11734 days 00:00:00
Dome,,FLASH,AZ,1946-09-30 20:30:00,False,11752 days 20:30:00
Conroe,,OTHER,TX,1947-01-10 20:00:00,False,11854 days 20:00:00
Syracuse,,DISK,NY,1947-02-20 22:15:00,False,11895 days 22:15:00
Miami,,OTHER,FL,1947-04-15 14:00:00,False,11949 days 14:00:00
San Deigo,,TRIANGLE,CA,1947-04-15 23:00:00,False,11949 days 23:00:00
Minden,,,LA,1947-06-01 00:00:00,False,11996 days 00:00:00
Cleveland,,LIGHT,OH,1947-06-01 02:30:00,False,11996 days 02:30:00
Espanola,,CIRCLE,NM,1947-06-01 17:00:00,False,11996 days 17:00:00
Oroville,,,CA,1947-06-01 18:00:00,False,11996 days 18:00:00
Oakmont,,,PA,1947-06-13 20:18:00,False,12008 days 20:18:00
Winona,,DISK,MN,1947-06-15 10:00:00,False,12010 days 10:00:00
Gackle,,OTHER,ND,1947-06-15 14:00:00,False,12010 days 14:00:00
Madison,,DISK,WI,1947-06-15 18:00:00,False,12010 days 18:00:00
Hayward,,CIRCLE,CA,1947-06-20 12:00:00,False,12015 days 12:00:00
Tacoma,,OTHER,WA,1947-06-30 00:00:00,False,12025 days 00:00:00
Baltimore,,OVAL,MD,1947-06-30 18:00:00,False,12025 days 18:00:00
Cashmere,,FORMATION,WA,1947-07-01 20:00:00,False,12026 days 20:00:00
Maywood,,DISK,CA,1947-07-01 20:00:00,False,12026 days 20:00:00
Wexford,BLUE,,PA,1947-07-01 20:00:00,False,12026 days 20:00:00
Sioux Falls,,,SD,1947-07-04 00:00:00,False,12029 days 00:00:00
Seattle,,OVAL,WA,1947-07-04 17:30:00,False,12029 days 17:30:00
Dell Rapids,,,SD,1947-07-05 00:00:00,False,12030 days 00:00:00
Philadelphia,,DISK,PA,1947-07-05 11:30:00,False,12030 days 11:30:00
Roswell,,,NM,1947-07-07 00:00:00,False,12032 days 00:00:00
Johnston City,,DISK,IL,1947-07-09 20:00:00,False,12034 days 20:00:00
Roswell,,,NM,1947-07-11 00:00:00,False,12036 days 00:00:00
Syracuse,,CIGAR,NY,1947-07-14 10:30:00,False,12039 days 10:30:00
Richmond,,CIRCLE,CA,1947-07-14 11:00:00,False,12039 days 11:00:00
Las Vegas,,DISK,NV,1947-07-15 10:00:00,False,12040 days 10:00:00
Keeneyville,,FORMATION,IL,1947-07-15 12:00:00,False,12040 days 12:00:00
Clintwood,,CYLINDER,VA,1947-07-15 15:00:00,False,12040 days 15:00:00
Hazelton,,DISK,ID,1947-07-15 15:00:00,False,12040 days 15:00:00
Minneapolis,,DISK,MN,1947-07-15 17:00:00,False,12040 days 17:00:00
Morehouse,,CYLINDER,MO,1947-07-15 21:00:00,False,12040 days 21:00:00
San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00,False,12040 days 21:00:00
Raton,,OVAL,NM,1947-07-20 22:00:00,False,12045 days 22:00:00
Modesto,BLUE,DISK,CA,1947-08-08 22:00:00,False,12064 days 22:00:00
Green Valley,,,WI,1947-08-10 20:00:00,False,12066 days 20:00:00
Henrietta,,LIGHT,OK,1947-08-12 01:00:00,False,12068 days 01:00:00
Saranac Lake,,DISK,NY,1947-08-12 22:00:00,False,12068 days 22:00:00
Proctor,,CIGAR,OK,1947-08-15 20:15:00,False,12071 days 20:15:00
Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00,True,12202 days 21:00:00
Kelseyville,,DISK,CA,1948-04-30 12:00:00,False,12330 days 12:00:00
Scipio,RED,SPHERE,IN,1948-05-10 19:00:00,False,12340 days 19:00:00
Borger,,DISK,TX,1948-06-15 16:00:00,False,12376 days 16:00:00
Baltimore,,OVAL,MD,1948-06-30 00:00:00,False,12391 days 00:00:00
Jim Ridge,,,WV,1948-06-30 08:00:00,False,12391 days 08:00:00
Ojai,,LIGHT,CA,1948-07-15 22:00:00,False,12406 days 22:00:00
New York City,,CIRCLE,NY,1948-08-01 02:00:00,False,12423 days 02:00:00
Conshohocken,,OVAL,PA,1948-08-15 12:00:00,False,12437 days 12:00:00
Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00,True,12556 days 23:30:00
Seattle,,DISK,WA,1949-04-10 15:00:00,False,12675 days 15:00:00
Oak Ridge,,OTHER,WV,1949-05-01 14:00:00,False,12696 days 14:00:00
Grays,,LIGHT,SC,1949-05-15 06:30:00,False,12710 days 06:30:00
Los Angeles,,CIRCLE,CT,1949-06-04 10:00:00,False,12730 days 10:00:00
Anchorage,,DISK,AK,1949-06-10 21:00:00,False,12736 days 21:00:00
Knoxville,,OTHER,TN,1949-06-30 15:00:00,False,12756 days 15:00:00
Salem,,CIGAR,OR,1949-06-30 21:00:00,False,12756 days 21:00:00
Fairbanks,,DISK,AK,1949-07-01 11:00:00,False,12757 days 11:00:00
Marion,,FORMATION,AL,1949-07-01 16:00:00,False,12757 days 16:00:00
Booneville,,,MS,1949-07-15 20:30:00,False,12771 days 20:30:00
Excelsior,,CIRCLE,MN,1949-08-15 00:00:00,False,12802 days 00:00:00
Mill Valley,,LIGHT,CA,1949-08-15 21:00:00,False,12802 days 21:00:00
Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00,False,12802 days 22:00:00
Steilacoom,,DISK,WA,1949-08-25 19:00:00,False,12812 days 19:00:00
Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00,False,12833 days 21:00:00
Post,,DISK,TX,1949-09-15 21:00:00,False,12833 days 21:00:00
San Marcos,,CYLINDER,TX,1949-10-10 20:30:00,False,12858 days 20:30:00
Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00,False,12858 days 21:00:00
Baltimore,,CIGAR,MD,1949-10-15 20:00:00,False,12863 days 20:00:00
Mount Hope,,,WV,1950-01-01 22:00:00,False,12941 days 22:00:00
New York City,,OVAL,NY,1950-01-02 00:00:00,False,12942 days 00:00:00
Roswell,RED,,NM,1950-03-22 00:00:00,False,13021 days 00:00:00
Arkansas,,DISK,AR,1950-04-15 08:00:00,False,13045 days 08:00:00
Waynesborough,,DISK,VA,1950-04-15 14:00:00,False,13045 days 14:00:00
Fort Lewis,,TRIANGLE,WA,1950-05-12 14:00:00,False,13072 days 14:00:00
Crowder,,,MS,1950-06-01 00:00:00,False,13092 days 00:00:00
Philadelphia,,DISK,MS,1950-06-01 16:00:00,False,13092 days 16:00:00
Pittsburgh,,OVAL,PA,1950-06-01 20:00:00,False,13092 days 20:00:00
Kensington,,OVAL,MD,1950-06-07 20:00:00,False,13098 days 20:00:00
Kansas City,,DISK,MO,1950-06-08 10:00:00,False,13099 days 10:00:00
Napa,GREEN,DISK,CA,1950-06-10 00:00:00,False,13101 days 00:00:00
Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00,False,13106 days 13:00:00
Bonifay,,DISK,FL,1950-06-15 20:00:00,False,13106 days 20:00:00
Fort Worth,,DISK,TX,1950-06-15 20:00:00,False,13106 days 20:00:00
Booneville,,DISK,MS,1950-06-20 10:00:00,False,13111 days 10:00:00
Galveston,,SPHERE,TX,1950-06-20 17:00:00,False,13111 days 17:00:00
Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00,False,13121 days 16:00:00
Florence,,DISK,CO,1950-06-30 17:30:00,False,13121 days 17:30:00
Florence,,LIGHT,CO,1950-06-30 17:30:00,False,13121 days 17:30:00
Coeur d'Alene,ORANGE,CIGAR,ID,1950-07-02 13:00:00,False,13123 days 13:00:00
Bay St. Louis,,LIGHT,MS,1950-07-02 21:00:00,False,13123 days 21:00:00
East Palestine,,LIGHT,OH,1950-07-10 20:30:00,False,13131 days 20:30:00
Newark,,SPHERE,NJ,1950-07-15 21:30:00,False,13136 days 21:30:00
Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00,False,13136 days 23:00:00
Smithport,,DISK,PA,1950-07-20 21:30:00,False,13141 days 21:30:00
Louisville,,OTHER,KY,1950-08-01 04:00:00,False,13153 days 04:00:00
Stanfield,,DISK,OR,1950-08-15 14:00:00,False,13167 days 14:00:00
Pikeville,,DISK,KY,1950-10-01 11:00:00,False,13214 days 11:00:00
Sandy Hook,,TRIANGLE,NJ,1950-10-15 15:00:00,False,13228 days 15:00:00
Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00,True,13286 days 22:00:00
Palm Springs,,CIGAR,CA,1951-01-20 04:30:00,False,13325 days 04:30:00
Thompsonville,,DISK,CT,1951-02-03 22:00:00,False,13339 days 22:00:00
Los Angeles,,DISK,CA,1951-02-15 11:00:00,False,13351 days 11:00:00
Irving,BLUE,DISK,KS,1951-04-15 00:30:00,False,13410 days 00:30:00
Fort Sill,,OVAL,OK,1951-05-15 03:00:00,False,13440 days 03:00:00
Oklahoma,,CIGAR,OK,1951-06-01 19:00:00,False,13457 days 19:00:00
Jasper,,OVAL,NC,1951-06-03 13:00:00,False,13459 days 13:00:00
Mount Pinos,,DISK,CA,1951-06-06 02:00:00,False,13462 days 02:00:00
Greenville,GREEN,DISK,MS,1951-06-15 20:30:00,False,13471 days 20:30:00
Jackson Heights,,DISK,NY,1951-06-30 07:00:00,False,13486 days 07:00:00
Birmingham,,,AL,1951-06-30 19:00:00,False,13486 days 19:00:00
Otis Orchards,,DISK,WA,1951-07-01 03:00:00,False,13487 days 03:00:00
Atlanta,,,GA,1951-07-01 14:00:00,False,13487 days 14:00:00
Calaveras County,,DISK,CA,1951-07-03 03:00:00,False,13489 days 03:00:00
Green River,GREEN,SPHERE,WY,1951-07-03 12:00:00,False,13489 days 12:00:00
Provo,BLUE,DISK,UT,1951-07-10 23:30:00,False,13496 days 23:30:00
Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00,False,13501 days 14:00:00
Sunland,,CIRCLE,CA,1951-08-10 01:00:00,False,13527 days 01:00:00
Altoona,,DISK,PA,1951-08-15 13:00:00,False,13532 days 13:00:00
Jacksonville,,DISK,FL,1951-10-15 20:00:00,False,13593 days 20:00:00
Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00,False,13624 days 06:00:00
Salt Lake City,,,UT,1952-01-01 00:00:00,False,13671 days 00:00:00
Binghamton,,DISK,NY,1952-02-10 21:00:00,False,13711 days 21:00:00
Nellis AFB,,DISK,NV,1952-02-17 18:00:00,False,13718 days 18:00:00
Chicago,,DISK,IL,1952-04-15 13:00:00,False,13776 days 13:00:00
Greenville,ORANGE,TRIANGLE,TX,1952-04-15 16:00:00,False,13776 days 16:00:00
Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00,False,13806 days 10:15:00
Allyn,,DISK,WA,1952-05-15 20:00:00,False,13806 days 20:00:00
Dousman,,,WI,1952-06-01 11:00:00,False,13823 days 11:00:00
Norfolk,RED,FIREBALL,VA,1952-06-01 22:00:00,False,13823 days 22:00:00
Evergreen,,DISK,CO,1952-06-06 13:00:00,False,13828 days 13:00:00
Chicago,,CIRCLE,IL,1952-06-10 12:00:00,False,13832 days 12:00:00
Fortville,,DISK,IN,1952-06-13 07:30:00,False,13835 days 07:30:00
Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00,False,13837 days 00:00:00
Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00,False,13837 days 00:00:00
Jacksonville,,TRIANGLE,FL,1952-06-15 21:00:00,False,13837 days 21:00:00
Maywood,,CIRCLE,CA,1952-06-15 23:00:00,False,13837 days 23:00:00
Lansing,,OTHER,MI,1952-06-21 22:00:00,False,13843 days 22:00:00
Chester,,OVAL,PA,1952-06-22 17:45:00,False,13844 days 17:45:00
Cheyenne,,DISK,WY,1952-06-30 00:00:00,False,13852 days 00:00:00
Pecos,,DISK,TX,1952-06-30 03:00:00,False,13852 days 03:00:00
Barksdale AFB,,,LA,1952-06-30 06:00:00,False,13852 days 06:00:00
Miami,,LIGHT,FL,1952-06-30 09:00:00,False,13852 days 09:00:00
New York City,,DISK,NY,1952-06-30 13:00:00,False,13852 days 13:00:00
Auburn,,OVAL,WA,1952-06-30 18:30:00,False,13852 days 18:30:00
Miami,,DISK,FL,1952-06-30 21:00:00,False,13852 days 21:00:00
Miami,,DISK,FL,1952-06-30 21:00:00,False,13852 days 21:00:00
Miami,,LIGHT,FL,1952-06-30 21:00:00,False,13852 days 21:00:00
Sebeka,,OTHER,MN,1952-07-01 15:00:00,False,13853 days 15:00:00
Detroit,,SPHERE,MI,1952-07-01 22:00:00,False,13853 days 22:00:00
Tacoma,,SPHERE,WA,1952-07-05 16:00:00,False,13857 days 16:00:00
