Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
4211,633,Bike,3,Business,9,5,9:35:46 AM,9,5,9:40:10 AM,9,5,10:04:47 AM,9,5,10:27:30 AM,9,5,10:39:55 AM,4,20.4,,-1.3177547,36.8303703,-1.3004062,36.829741,432,745
25375,2285,Bike,3,Personal,12,5,11:16:16 AM,12,5,11:23:21 AM,12,5,11:40:22 AM,12,5,11:44:09 AM,12,5,12:17:22 PM,16,26.4,,-1.351453,36.899315,-1.2950041,36.8143583,856,1993
1899,265,Bike,3,Business,30,2,12:39:25 PM,30,2,12:42:44 PM,30,2,12:49:34 PM,30,2,12:53:03 PM,30,2,1:00:38 PM,3,,,-1.3082842,36.8434194,-1.300921,36.828195,155,455
9336,1402,Bike,3,Business,15,5,9:25:34 AM,15,5,9:26:05 AM,15,5,9:37:56 AM,15,5,9:43:06 AM,15,5,10:05:27 AM,9,19.2,,-1.2813012,36.8323962,-1.2571472,36.7950633,855,1341
27883,1737,Bike,1,Personal,13,1,9:55:18 AM,13,1,9:56:18 AM,13,1,10:03:53 AM,13,1,10:05:23 AM,13,1,10:25:37 AM,9,15.4,,-1.2665974,36.7921181,-1.2950408,36.8098172,770,1214
7408,1342,Bike,3,Business,14,5,3:07:35 PM,14,5,3:08:57 PM,14,5,3:21:36 PM,14,5,3:30:30 PM,14,5,4:23:41 PM,9,27.2,,-1.3025826,36.7670807,-1.257309,36.8060084,124,3191
22680,2803,Bike,3,Business,9,5,9:33:45 AM,9,5,9:49:47 AM,9,5,9:53:12 AM,9,5,9:56:45 AM,9,5,10:19:45 AM,5,20.3,,-1.279395,36.825364,-1.2765736,36.8513646,114,1380
21578,1075,Bike,3,Business,11,1,2:13:01 PM,11,1,2:14:13 PM,11,1,2:21:33 PM,11,1,2:22:40 PM,11,1,2:33:26 PM,3,28.7,,-1.2527958,36.8003131,-1.2551895,36.7822034,913,646
5234,733,Bike,3,Business,30,2,11:10:44 AM,30,2,11:15:49 AM,30,2,12:13:18 PM,30,2,12:22:57 PM,30,2,1:19:35 PM,9,,,-1.2551895,36.7822034,-1.3002554,36.8256566,394,3398
1768,2112,Bike,3,Business,23,5,4:48:54 PM,23,5,5:17:56 PM,23,5,5:32:41 PM,23,5,5:34:38 PM,23,5,6:31:57 PM,14,24.6,,-1.225322,36.80855,-1.2156006,36.8916865,660,3439
823,2820,Bike,3,Personal,15,3,9:23:37 AM,15,3,9:31:27 AM,15,3,10:10:28 AM,15,3,10:14:53 AM,15,3,10:32:29 AM,9,16.4,,-1.3291184,36.7892374,-1.2903421,36.7885282,208,1056
2533,704,Bike,1,Business,2,2,3:43:20 PM,2,2,3:44:16 PM,2,2,3:59:18 PM,2,2,4:17:27 PM,2,2,5:22:25 PM,17,26.1,,-1.2584143,36.8048002,-1.2860183,36.8975338,937,3898
7842,1990,Bike,3,Business,23,4,2:37:42 PM,23,4,2:39:00 PM,23,4,2:49:27 PM,23,4,3:01:57 PM,23,4,3:45:59 PM,10,24.6,,-1.2558721,36.722296,-1.275442,36.7660207,868,2642
6452,3295,Bike,3,Business,25,5,9:12:08 AM,25,5,9:14:08 AM,25,5,9:14:53 AM,25,5,9:27:34 AM,25,5,10:15:58 AM,21,20.9,,-1.2571472,36.7950633,-1.3908674,36.7674236,536,2904
9463,248,Bike,3,Business,23,4,10:05:04 AM,23,4,10:05:49 AM,23,4,10:17:51 AM,23,4,10:27:05 AM,23,4,10:33:52 AM,1,,,-1.304735,36.7846054,-1.2993231,36.7753372,607,407
21335,3599,Bike,3,Business,2,4,12:33:50 PM,2,4,12:52:23 PM,2,4,1:17:57 PM,2,4,1:38:25 PM,2,4,2:10:11 PM,13,,,-1.3302996,36.8707935,-1.2644742,36.8083457,427,1906
21307,198,Bike,3,Business,19,3,11:57:55 AM,19,3,11:58:07 AM,19,3,12:07:53 PM,19,3,12:15:32 PM,19,3,12:54:00 PM,17,,,-1.3396256,36.8863135,-1.2705297,36.7987172,265,2308
8201,1500,Bike,3,Business,15,2,11:34:28 AM,15,2,11:35:48 AM,15,2,12:19:58 PM,15,2,12:25:08 PM,15,2,1:09:07 PM,13,24.4,,-1.2574219,36.7927073,-1.3228003,36.8306435,725,2639
11630,391,Bike,3,Business,14,3,9:12:10 AM,14,3,11:21:57 AM,14,3,11:31:02 AM,14,3,11:33:31 AM,14,3,11:59:41 AM,5,24.4,,-1.2599563,36.7993439,-1.2867454,36.8259017,436,1570
19866,3722,Bike,1,Personal,28,2,2:12:53 PM,28,2,2:14:55 PM,28,2,2:42:22 PM,28,2,2:50:07 PM,28,2,4:00:27 PM,5,19.4,,-1.2872899,36.820434,-1.2898354,36.7872703,447,4220
23338,1960,Bike,3,Personal,12,2,10:04:11 AM,12,2,10:26:25 AM,12,2,10:41:32 AM,12,2,10:44:52 AM,12,2,11:03:24 AM,7,20.8,,-1.3023756,36.7949276,-1.2574088,36.799712,366,1112
14810,3698,Bike,3,Business,22,3,10:42:19 AM,22,3,10:42:39 AM,22,3,11:14:29 AM,22,3,11:15:38 AM,22,3,11:51:02 AM,24,23.3,,-1.3244885,36.897792,-1.3107918,36.761794,856,2124
12412,1362,Bike,1,Personal,10,4,7:27:32 PM,10,4,7:27:53 PM,10,4,7:46:17 PM,10,4,7:49:09 PM,10,4,8:13:57 PM,11,18.1,3.9,-1.2627555,36.7929553,-1.2105984,36.8109774,881,1488
663,1404,Bike,2,Personal,11,5,10:03:14 AM,11,5,10:04:09 AM,11,5,10:26:21 AM,11,5,10:35:25 AM,11,5,10:58:49 AM,10,20.8,,-1.3211235,36.7765164,-1.2869041,36.8240057,338,1404
4818,2030,Bike,3,Business,11,2,3:38:33 PM,11,2,3:42:08 PM,11,2,3:50:17 PM,11,2,3:53:17 PM,11,2,4:53:34 PM,3,22.5,,-1.2969741,36.7856612,-1.295908,36.791433,596,3617
8816,346,Bike,3,Business,3,3,12:12:10 PM,3,3,12:13:29 PM,3,3,12:47:40 PM,3,3,12:52:48 PM,3,3,1:36:14 PM,13,27.2,,-1.2859912,36.8756811,-1.28878,36.8168312,76,2606
17338,1582,Bike,1,Business,5,5,2:42:27 PM,5,5,2:45:42 PM,5,5,2:59:57 PM,5,5,3:01:56 PM,5,5,3:21:05 PM,5,26.5,,-1.2735999,36.8218131,-1.2508229,36.7895263,407,1149
12130,627,Bike,3,Business,19,2,12:28:42 PM,19,2,12:29:26 PM,19,2,12:30:55 PM,19,2,12:42:07 PM,19,2,1:10:58 PM,17,27.3,,-1.2551895,36.7822034,-1.3339943,36.7263409,630,1731
21312,3560,Bike,3,Business,14,3,1:53:26 PM,14,3,2:16:41 PM,14,3,2:25:54 PM,14,3,2:28:10 PM,14,3,3:22:11 PM,9,25.6,,-1.279395,36.825364,-1.3242351,36.8202498,237,3241
13398,2383,Bike,3,Business,28,3,8:33:07 AM,28,3,8:33:21 AM,28,3,8:37:38 AM,28,3,8:45:10 AM,28,3,8:57:03 AM,1,20.5,,-1.2608993,36.799246,-1.263194,36.797624,407,713
13031,1346,Bike,3,Business,10,1,3:26:29 PM,10,1,3:26:50 PM,10,1,3:47:49 PM,10,1,3:52:11 PM,10,1,4:29:12 PM,20,18.8,,-1.2917868,36.7872675,-1.3700383,36.9190174,622,2221
17028,3184,Bike,3,Business,12,2,9:04:19 AM,12,2,9:05:26 AM,12,2,9:42:51 AM,12,2,9:49:56 AM,12,2,10:39:22 AM,11,16.1,,-1.3067663,36.8438792,-1.3457877,36.8811894,302,2966
15792,909,Bike,3,Business,17,3,4:08:47 PM,17,3,4:18:18 PM,17,3,4:26:43 PM,17,3,4:36:18 PM,17,3,5:06:41 PM,12,,,-1.225322,36.80855,-1.290894,36.822971,634,1823
4861,3291,Bike,3,Business,22,2,4:17:07 PM,22,2,4:17:53 PM,22,2,4:27:17 PM,22,2,4:47:56 PM,22,2,5:12:40 PM,12,25.3,,-1.228911,36.881876,-1.2600926,36.8088685,75,1484
